epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.89453125,,,
0,99,,,,0.9140625,,,
0,149,,,,0.92578125,,,
0,187,,,,,,0.906499981880188,0.32057178020477295
0,187,,,0.8809375166893005,,0.43212366104125977,,
1,199,,,,0.91015625,,,
1,249,,,,0.921875,,,
1,299,,,,0.890625,,,
1,349,,,,0.93359375,,,
1,375,,,,,,0.9024999737739563,0.3360495865345001
1,375,,,0.914354145526886,,0.30399826169013977,,
2,399,,,,0.91015625,,,
2,449,,,,0.8984375,,,
2,499,,,,0.91796875,,,
2,549,,,,0.9140625,,,
2,563,,,,,,0.9142500162124634,0.30734652280807495
2,563,,,0.9164166450500488,,0.2925916910171509,,
3,599,,,,0.9453125,,,
3,649,,,,0.9375,,,
3,699,,,,0.8984375,,,
3,749,,,,0.94140625,,,
3,751,,,,,,0.9149166941642761,0.3127482235431671
3,751,,,0.9211458563804626,,0.28058576583862305,,
4,799,,,,0.9140625,,,
4,849,,,,0.9296875,,,
4,899,,,,0.890625,,,
4,939,,,,,,0.8920000195503235,0.37458452582359314
4,939,,,0.92208331823349,,0.2759721577167511,,
5,949,,,,0.9453125,,,
5,999,,,,0.8984375,,,
5,1049,,,,0.9296875,,,
5,1099,,,,0.9375,,,
5,1127,,,,,,0.909583330154419,0.32825127243995667
5,1127,,,0.9237916469573975,,0.27279525995254517,,
6,1149,,,,0.953125,,,
6,1199,,,,0.9296875,,,
6,1249,,,,0.92578125,,,
6,1299,,,,0.89453125,,,
6,1315,,,,,,0.9137499928474426,0.31886762380599976
6,1315,,,0.9238541722297668,,0.26914966106414795,,
7,1349,,,,0.91796875,,,
7,1399,,,,0.90625,,,
7,1449,,,,0.9140625,,,
7,1499,,,,0.91796875,,,
7,1503,,,,,,0.8995000123977661,0.368086576461792
7,1503,,,0.9241666793823242,,0.2668740451335907,,
8,1549,,,,0.91796875,,,
8,1599,,,,0.90625,,,
8,1649,,,,0.93359375,,,
8,1691,,,,,,0.909500002861023,0.3282982110977173
8,1691,,,0.9256666898727417,,0.2644088864326477,,
9,1699,,,,0.94921875,,,
9,1749,,,,0.890625,,,
9,1799,,,,0.91015625,,,
9,1849,,,,0.90625,,,
9,1879,,,,,,0.9143333435058594,0.3246786296367645
9,1879,,,0.9263749718666077,,0.26149407029151917,,
10,1899,,,,0.93359375,,,
10,1949,,,,0.91015625,,,
10,1999,,,,0.8671875,,,
10,2049,,,,0.94921875,,,
10,2067,,,,,,0.918749988079071,0.3120341897010803
10,2067,,,0.9263749718666077,,0.26154017448425293,,
11,2099,,,,0.94921875,,,
11,2149,,,,0.8828125,,,
11,2199,,,,0.91796875,,,
11,2249,,,,0.93359375,,,
11,2255,,,,,,0.8942499756813049,0.3758588135242462
11,2255,,,0.9269791841506958,,0.2586388885974884,,
12,2299,,,,0.90234375,,,
12,2349,,,,0.9453125,,,
12,2399,,,,0.8984375,,,
12,2443,,,,,,0.9143333435058594,0.3238593339920044
12,2443,,,0.9266666769981384,,0.258545845746994,,
13,2449,,,,0.93359375,,,
13,2499,,,,0.9140625,,,
13,2549,,,,0.89453125,,,
13,2599,,,,0.91015625,,,
13,2631,,,,,,0.918666660785675,0.3098762333393097
13,2631,,,0.9278749823570251,,0.25671929121017456,,
14,2649,,,,0.9296875,,,
14,2699,,,,0.9609375,,,
14,2749,,,,0.91796875,,,
14,2799,,,,0.94140625,,,
14,2819,,,,,,0.9205833077430725,0.2994915843009949
14,2819,,,0.9283124804496765,,0.25442376732826233,,
15,2849,,,,0.90234375,,,
15,2899,,,,0.92578125,,,
15,2949,,,,0.94140625,,,
15,2999,,,,0.9140625,,,
15,3007,,,,,,0.9100000262260437,0.33254653215408325
15,3007,,,0.9289583563804626,,0.2536006569862366,,
16,3049,,,,0.93359375,,,
16,3099,,,,0.9375,,,
16,3149,,,,0.94140625,,,
16,3195,,,,,,0.9160000085830688,0.319192111492157
16,3195,,,0.9281041622161865,,0.25308874249458313,,
17,3199,,,,0.92578125,,,
17,3249,,,,0.94140625,,,
17,3299,,,,0.90234375,,,
17,3349,,,,0.94140625,,,
17,3383,,,,,,0.9081666469573975,0.3427969515323639
17,3383,,,0.9292500019073486,,0.25156471133232117,,
18,3399,,,,0.921875,,,
18,3449,,,,0.93359375,,,
18,3499,,,,0.921875,,,
18,3549,,,,0.87890625,,,
18,3571,,,,,,0.9078333377838135,0.35198739171028137
18,3571,,,0.9269791841506958,,0.253743439912796,,
19,3599,,,,0.96484375,,,
19,3649,,,,0.8984375,,,
19,3699,,,,0.921875,,,
19,3749,,,,0.90234375,,,
19,3759,,,,,,0.9081666469573975,0.35317882895469666
19,3759,,,0.9302499890327454,,0.24853292107582092,,
20,3799,,,,0.94140625,,,
20,3849,,,,0.91796875,,,
20,3899,,,,0.9296875,,,
20,3947,,,,,,0.8989999890327454,0.3668132722377777
20,3947,,,0.9285625219345093,,0.25092172622680664,,
21,3949,,,,0.91796875,,,
21,3999,,,,0.921875,,,
21,4049,,,,0.90625,,,
21,4099,,,,0.94921875,,,
21,4135,,,,,,0.9123333096504211,0.3304855227470398
21,4135,,,0.9303541779518127,,0.24762357771396637,,
22,4149,,,,0.94921875,,,
22,4199,,,,0.95703125,,,
22,4249,,,,0.94140625,,,
22,4299,,,,0.90625,,,
22,4323,,,,,,0.9135000109672546,0.3279169797897339
22,4323,,,0.929770827293396,,0.24855415523052216,,
23,4349,,,,0.92578125,,,
23,4399,,,,0.93359375,,,
23,4449,,,,0.921875,,,
23,4499,,,,0.921875,,,
23,4511,,,,,,0.8964999914169312,0.3847771883010864
23,4511,,,0.929812490940094,,0.24793829023838043,,
24,4549,,,,0.92578125,,,
24,4599,,,,0.953125,,,
24,4649,,,,0.91796875,,,
24,4699,,,,0.9140625,,,
24,4699,,,,,,0.9058333039283752,0.36446627974510193
24,4699,,,0.9292291402816772,,0.24787424504756927,,
25,4749,,,,0.94921875,,,
25,4799,,,,0.90234375,,,
25,4849,,,,0.91015625,,,
25,4887,,,,,,0.9152500033378601,0.32640618085861206
25,4887,,,0.9309791922569275,,0.2469744086265564,,
26,4899,,,,0.94140625,,,
26,4949,,,,0.9140625,,,
26,4999,,,,0.9296875,,,
26,5049,,,,0.9453125,,,
26,5075,,,,,,0.9117500185966492,0.3379047214984894
26,5075,,,0.9294166564941406,,0.24797950685024261,,
27,5099,,,,0.9375,,,
27,5149,,,,0.9140625,,,
27,5199,,,,0.9296875,,,
27,5249,,,,0.9140625,,,
27,5263,,,,,,0.9169999957084656,0.3291943073272705
27,5263,,,0.9306874871253967,,0.2447521984577179,,
28,5299,,,,0.921875,,,
28,5349,,,,0.95703125,,,
28,5399,,,,0.93359375,,,
28,5449,,,,0.9453125,,,
28,5451,,,,,,0.9160000085830688,0.32154566049575806
28,5451,,,0.9313750267028809,,0.244447261095047,,
29,5499,,,,0.88671875,,,
29,5549,,,,0.93359375,,,
