epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.0078125,,,
0,99,,,,0.0390625,,,
0,149,,,,0.0390625,,,
0,199,,,,0.046875,,,
0,249,,,,0.03125,,,
0,299,,,,0.0703125,,,
0,312,,,,,,0.07739999890327454,3.948716402053833
0,312,,,0.04479999840259552,,4.290171146392822,,
1,349,,,,0.1015625,,,
1,399,,,,0.09375,,,
1,449,,,,0.09375,,,
1,499,,,,0.1640625,,,
1,549,,,,0.15625,,,
1,599,,,,0.125,,,
1,625,,,,,,0.1404000073671341,3.5711355209350586
1,625,,,0.11320000141859055,,3.763728141784668,,
2,649,,,,0.1875,,,
2,699,,,,0.1328125,,,
2,749,,,,0.2265625,,,
2,799,,,,0.1875,,,
2,849,,,,0.140625,,,
2,899,,,,0.2265625,,,
2,938,,,,,,0.15860000252723694,3.5185914039611816
2,938,,,0.1725499927997589,,3.423691749572754,,
3,949,,,,0.2265625,,,
3,999,,,,0.296875,,,
3,1049,,,,0.2578125,,,
3,1099,,,,0.25,,,
3,1149,,,,0.2734375,,,
3,1199,,,,0.2578125,,,
3,1249,,,,0.234375,,,
3,1251,,,,,,0.23829999566078186,3.0658202171325684
3,1251,,,0.21867500245571136,,3.180752754211426,,
4,1299,,,,0.25,,,
4,1349,,,,0.3828125,,,
4,1399,,,,0.234375,,,
4,1449,,,,0.2578125,,,
4,1499,,,,0.3515625,,,
4,1549,,,,0.234375,,,
4,1564,,,,,,0.2619999945163727,2.9711735248565674
4,1564,,,0.25382500886917114,,2.996284008026123,,
5,1599,,,,0.234375,,,
5,1649,,,,0.2890625,,,
5,1699,,,,0.3984375,,,
5,1749,,,,0.2421875,,,
5,1799,,,,0.3125,,,
5,1849,,,,0.296875,,,
5,1877,,,,,,0.2867000102996826,2.822737216949463
5,1877,,,0.28279998898506165,,2.836019515991211,,
6,1899,,,,0.3359375,,,
6,1949,,,,0.265625,,,
6,1999,,,,0.296875,,,
6,2049,,,,0.3359375,,,
6,2099,,,,0.3046875,,,
6,2149,,,,0.40625,,,
6,2190,,,,,,0.31690001487731934,2.7127983570098877
6,2190,,,0.3128499984741211,,2.6915886402130127,,
7,2199,,,,0.359375,,,
7,2249,,,,0.3984375,,,
7,2299,,,,0.3359375,,,
7,2349,,,,0.421875,,,
7,2399,,,,0.3359375,,,
7,2449,,,,0.3515625,,,
7,2499,,,,0.3203125,,,
7,2503,,,,,,0.32850000262260437,2.6648218631744385
7,2503,,,0.3398500084877014,,2.5683047771453857,,
8,2549,,,,0.375,,,
8,2599,,,,0.3828125,,,
8,2649,,,,0.390625,,,
8,2699,,,,0.3203125,,,
8,2749,,,,0.3671875,,,
8,2799,,,,0.3359375,,,
8,2816,,,,,,0.3407999873161316,2.5907444953918457
8,2816,,,0.3630000054836273,,2.446437120437622,,
9,2849,,,,0.484375,,,
9,2899,,,,0.421875,,,
9,2949,,,,0.3984375,,,
9,2999,,,,0.40625,,,
9,3049,,,,0.359375,,,
9,3099,,,,0.375,,,
9,3129,,,,,,0.34209999442100525,2.5781688690185547
9,3129,,,0.38462498784065247,,2.3391332626342773,,
10,3149,,,,0.4609375,,,
10,3199,,,,0.4609375,,,
10,3249,,,,0.390625,,,
10,3299,,,,0.453125,,,
10,3349,,,,0.46875,,,
10,3399,,,,0.4296875,,,
10,3442,,,,,,0.3594000041484833,2.4999780654907227
10,3442,,,0.40689998865127563,,2.2444212436676025,,
11,3449,,,,0.4921875,,,
11,3499,,,,0.3828125,,,
11,3549,,,,0.4609375,,,
11,3599,,,,0.421875,,,
11,3649,,,,0.421875,,,
11,3699,,,,0.375,,,
11,3749,,,,0.515625,,,
11,3755,,,,,,0.3824000060558319,2.4233639240264893
11,3755,,,0.42969998717308044,,2.14855694770813,,
12,3799,,,,0.4140625,,,
12,3849,,,,0.40625,,,
12,3899,,,,0.390625,,,
12,3949,,,,0.484375,,,
12,3999,,,,0.40625,,,
12,4049,,,,0.4921875,,,
12,4068,,,,,,0.3797000050544739,2.4863693714141846
12,4068,,,0.4437749981880188,,2.062311887741089,,
13,4099,,,,0.484375,,,
13,4149,,,,0.4453125,,,
13,4199,,,,0.484375,,,
13,4249,,,,0.5078125,,,
13,4299,,,,0.4765625,,,
13,4349,,,,0.4453125,,,
13,4381,,,,,,0.38609999418258667,2.4405620098114014
13,4381,,,0.4606499969959259,,1.9875742197036743,,
14,4399,,,,0.453125,,,
14,4449,,,,0.484375,,,
14,4499,,,,0.5078125,,,
14,4549,,,,0.4140625,,,
14,4599,,,,0.40625,,,
14,4649,,,,0.4140625,,,
14,4694,,,,,,0.40700000524520874,2.3440983295440674
14,4694,,,0.48054999113082886,,1.9042733907699585,,
15,4699,,,,0.4921875,,,
15,4749,,,,0.5078125,,,
15,4799,,,,0.4609375,,,
15,4849,,,,0.515625,,,
15,4899,,,,0.5390625,,,
15,4949,,,,0.4140625,,,
15,4999,,,,0.4296875,,,
15,5007,,,,,,0.40450000762939453,2.332615852355957
15,5007,,,0.4986000061035156,,1.829107403755188,,
16,5049,,,,0.5078125,,,
16,5099,,,,0.546875,,,
16,5149,,,,0.453125,,,
16,5199,,,,0.4921875,,,
16,5249,,,,0.515625,,,
16,5299,,,,0.5625,,,
16,5320,,,,,,0.4090999960899353,2.3331170082092285
16,5320,,,0.5086249709129333,,1.7625579833984375,,
17,5349,,,,0.5625,,,
17,5399,,,,0.5390625,,,
17,5449,,,,0.5859375,,,
17,5499,,,,0.4765625,,,
17,5549,,,,0.6015625,,,
17,5599,,,,0.46875,,,
17,5633,,,,,,0.413100004196167,2.3499271869659424
17,5633,,,0.5224249958992004,,1.6983658075332642,,
18,5649,,,,0.5625,,,
18,5699,,,,0.59375,,,
18,5749,,,,0.6015625,,,
18,5799,,,,0.484375,,,
18,5849,,,,0.484375,,,
18,5899,,,,0.4765625,,,
18,5946,,,,,,0.4083999991416931,2.390523672103882
18,5946,,,0.5384250283241272,,1.6435840129852295,,
19,5949,,,,0.6015625,,,
19,5999,,,,0.4921875,,,
19,6049,,,,0.6171875,,,
19,6099,,,,0.4921875,,,
19,6149,,,,0.5234375,,,
19,6199,,,,0.5390625,,,
19,6249,,,,0.546875,,,
19,6259,,,,,,0.4090999960899353,2.3610706329345703
19,6259,,,0.5520250201225281,,1.5735578536987305,,
20,6299,,,,0.609375,,,
20,6349,,,,0.5703125,,,
20,6399,,,,0.578125,,,
20,6449,,,,0.609375,,,
20,6499,,,,0.578125,,,
20,6549,,,,0.609375,,,
20,6572,,,,,,0.41100001335144043,2.3965179920196533
20,6572,,,0.5670750141143799,,1.5199922323226929,,
21,6599,,,,0.609375,,,
21,6649,,,,0.5625,,,
21,6699,,,,0.6328125,,,
21,6749,,,,0.625,,,
21,6799,,,,0.5859375,,,
21,6849,,,,0.625,,,
21,6885,,,,,,0.4221000075340271,2.3602521419525146
21,6885,,,0.5792250037193298,,1.4532814025878906,,
22,6899,,,,0.578125,,,
22,6949,,,,0.6171875,,,
22,6999,,,,0.6484375,,,
22,7049,,,,0.5859375,,,
22,7099,,,,0.59375,,,
22,7149,,,,0.53125,,,
22,7198,,,,,,0.4147999882698059,2.401756525039673
22,7198,,,0.5901749730110168,,1.4185067415237427,,
23,7199,,,,0.578125,,,
23,7249,,,,0.5703125,,,
23,7299,,,,0.625,,,
23,7349,,,,0.5390625,,,
23,7399,,,,0.640625,,,
23,7449,,,,0.515625,,,
23,7499,,,,0.5234375,,,
23,7511,,,,,,0.40209999680519104,2.504424810409546
23,7511,,,0.6033250093460083,,1.367017388343811,,
24,7549,,,,0.6328125,,,
