epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,44,,,,,,0.8805000185966492,0.3236676752567291
0,44,,,0.8112608790397644,,0.45766881108283997,,
1,49,,,,0.947265625,,,
1,89,,,,,,0.890500009059906,0.2882045805454254
1,89,,,0.9160869717597961,,0.23843520879745483,,
2,99,,,,0.93359375,,,
2,134,,,,,,0.8934999704360962,0.2769984006881714
2,134,,,0.9356086850166321,,0.18350841104984283,,
3,149,,,,0.96875,,,
3,179,,,,,,0.890500009059906,0.2908374071121216
3,179,,,0.947826087474823,,0.15269629657268524,,
4,199,,,,0.9609375,,,
4,224,,,,,,0.887499988079071,0.29876914620399475
4,224,,,0.9557825922966003,,0.13031242787837982,,
5,249,,,,0.966796875,,,
5,269,,,,,,0.890500009059906,0.3206430971622467
5,269,,,0.9642173647880554,,0.11144492775201797,,
6,299,,,,0.984375,,,
6,314,,,,,,0.887499988079071,0.3358961045742035
6,314,,,0.9682173728942871,,0.09915703535079956,,
7,349,,,,0.98046875,,,
7,359,,,,,,0.8815000057220459,0.38063347339630127
7,359,,,0.9755651950836182,,0.08109411597251892,,
8,399,,,,0.9765625,,,
8,404,,,,,,0.878000020980835,0.41522228717803955
8,404,,,0.9806521534919739,,0.06896611303091049,,
9,449,,,,0.9830508232116699,,,
9,449,,,,,,0.8784999847412109,0.4190770089626312
9,449,,,0.9864782691001892,,0.055602964013814926,,
10,494,,,,,,0.8744999766349792,0.43790337443351746
10,494,,,0.9852608442306519,,0.05371427163481712,,
11,499,,,,0.990234375,,,
11,539,,,,,,0.8759999871253967,0.4680180847644806
11,539,,,0.9929130673408508,,0.035618044435977936,,
12,549,,,,0.99609375,,,
12,584,,,,,,0.8734999895095825,0.4923554062843323
12,584,,,0.9958260655403137,,0.027471382170915604,,
13,599,,,,1.0,,,
13,629,,,,,,0.8755000233650208,0.528322160243988
13,629,,,0.9972174167633057,,0.02115531824529171,,
14,649,,,,1.0,,,
14,674,,,,,,0.875,0.5581262707710266
14,674,,,0.9981304407119751,,0.0162050724029541,,
15,699,,,,1.0,,,
15,719,,,,,,0.8725000023841858,0.5929924249649048
15,719,,,0.9990869760513306,,0.011941345408558846,,
16,749,,,,1.0,,,
16,764,,,,,,0.7444999814033508,1.7879040241241455
16,764,,,0.9972608685493469,,0.0145545843988657,,
17,799,,,,1.0,,,
17,809,,,,,,0.8684999942779541,0.6281519532203674
17,809,,,0.9910869598388672,,0.04585656151175499,,
18,849,,,,0.998046875,,,
18,854,,,,,,0.8694999814033508,0.6439757943153381
18,854,,,0.9996956586837769,,0.006227008532732725,,
19,899,,,,1.0,,,
19,899,,,,,,0.8679999709129333,0.6596341133117676
19,899,,,0.9997391104698181,,0.005083272699266672,,
20,944,,,,,,0.8675000071525574,0.6761032342910767
20,944,,,0.9998260736465454,,0.0042109014466404915,,
21,949,,,,1.0,,,
21,989,,,,,,0.8669999837875366,0.693099856376648
21,989,,,0.9998695850372314,,0.003504174528643489,,
22,999,,,,1.0,,,
22,1034,,,,,,0.8669999837875366,0.7120524048805237
22,1034,,,0.9999565482139587,,0.002917712554335594,,
23,1049,,,,1.0,,,
23,1079,,,,,,0.8665000200271606,0.7320181131362915
23,1079,,,1.0,,0.0024114956613630056,,
24,1099,,,,1.0,,,
24,1124,,,,,,0.8669999837875366,0.7521899342536926
24,1124,,,1.0,,0.0019783852621912956,,
25,1149,,,,1.0,,,
25,1169,,,,,,0.8669999837875366,0.7764734625816345
25,1169,,,1.0,,0.0016024843789637089,,
26,1199,,,,1.0,,,
26,1214,,,,,,0.8665000200271606,0.8007116913795471
26,1214,,,1.0,,0.001289392588660121,,
27,1249,,,,1.0,,,
27,1259,,,,,,0.8675000071525574,0.8261964321136475
27,1259,,,1.0,,0.0010308719938620925,,
28,1299,,,,1.0,,,
28,1304,,,,,,0.8675000071525574,0.8524124622344971
28,1304,,,1.0,,0.0008160484139807522,,
29,1349,,,,1.0,,,
29,1349,,,,,,0.8654999732971191,0.8802364468574524
29,1349,,,1.0,,0.0006428901688195765,,
30,1350,0.8537200093269348,0.9420594573020935,,,,,
