epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.6866666674613953,,,
0,76,,,,,,0.7484999895095825,0.5226234197616577
0,76,,,0.6481739282608032,,0.6198740005493164,,
1,99,,,,0.8399999737739563,,,
1,149,,,,0.8399999737739563,,,
1,153,,,,,,0.8270000219345093,0.3976166546344757
1,153,,,0.828000009059906,,0.39465194940567017,,
2,199,,,,0.8666666746139526,,,
2,230,,,,,,0.8345000147819519,0.3988281786441803
2,230,,,0.8876087069511414,,0.282524049282074,,
3,249,,,,0.8966666460037231,,,
3,299,,,,0.8966666460037231,,,
3,307,,,,,,0.840499997138977,0.4041534960269928
3,307,,,0.9101304411888123,,0.22570571303367615,,
4,349,,,,0.949999988079071,,,
4,384,,,,,,0.8550000190734863,0.3912223279476166
4,384,,,0.938043475151062,,0.16690972447395325,,
5,399,,,,0.9666666388511658,,,
5,449,,,,0.9166666865348816,,,
5,461,,,,,,0.8565000295639038,0.42741861939430237
5,461,,,0.9544348120689392,,0.12881584465503693,,
6,499,,,,0.9766666889190674,,,
6,538,,,,,,0.8644999861717224,0.4965454041957855
6,538,,,0.9693912863731384,,0.09092296659946442,,
7,549,,,,0.9900000095367432,,,
7,599,,,,0.9800000190734863,,,
7,615,,,,,,0.8604999780654907,0.5180811285972595
7,615,,,0.9722608923912048,,0.08581943809986115,,
8,649,,,,0.9800000190734863,,,
8,692,,,,,,0.8399999737739563,0.4688810110092163
8,692,,,0.9792174100875854,,0.06624174863100052,,
9,699,,,,0.9833333492279053,,,
9,749,,,,0.9833333492279053,,,
9,769,,,,,,0.8560000061988831,0.5539038777351379
9,769,,,0.987521767616272,,0.04262949898838997,,
10,799,,,,0.9933333396911621,,,
10,846,,,,,,0.8510000109672546,0.7193419337272644
10,846,,,0.9900000095367432,,0.03458140790462494,,
11,849,,,,0.996666669845581,,,
11,899,,,,0.9900000095367432,,,
11,923,,,,,,0.8510000109672546,0.6775434613227844
11,923,,,0.9930434823036194,,0.024643562734127045,,
12,949,,,,1.0,,,
12,999,,,,0.9933333396911621,,,
12,1000,,,,,,0.8510000109672546,0.6418614387512207
12,1000,,,0.9879565238952637,,0.03866581991314888,,
13,1049,,,,0.9866666793823242,,,
13,1077,,,,,,0.8514999747276306,0.6832752823829651
13,1077,,,0.9925652146339417,,0.02595665492117405,,
14,1099,,,,0.996666669845581,,,
14,1149,,,,0.9933333396911621,,,
14,1154,,,,,,0.8560000061988831,0.7281988859176636
14,1154,,,0.9923478364944458,,0.028271686285734177,,
15,1199,,,,0.996666669845581,,,
15,1231,,,,,,0.8544999957084656,0.755219042301178
15,1231,,,0.9946521520614624,,0.017906010150909424,,
16,1249,,,,1.0,,,
16,1299,,,,0.9866666793823242,,,
16,1308,,,,,,0.8489999771118164,0.7195103764533997
16,1308,,,0.9926956295967102,,0.032436251640319824,,
17,1349,,,,0.9933333396911621,,,
17,1385,,,,,,0.8525000214576721,0.7668540477752686
17,1385,,,0.9965217113494873,,0.01355763990432024,,
18,1399,,,,0.996666669845581,,,
18,1449,,,,1.0,,,
18,1462,,,,,,0.8579999804496765,0.8429568409919739
18,1462,,,0.9990869760513306,,0.005085442215204239,,
19,1499,,,,0.9866666793823242,,,
19,1539,,,,,,0.7990000247955322,1.095787525177002
19,1539,,,0.9966521859169006,,0.012143959291279316,,
20,1540,0.8062400221824646,1.0238233804702759,,,,,
