epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.8046875,,,
0,99,,,,0.8671875,,,
0,149,,,,0.88671875,,,
0,187,,,,,,0.9304166436195374,0.25116896629333496
0,187,,,0.7806249856948853,,1.3030486106872559,,
1,199,,,,0.9140625,,,
1,249,,,,0.91015625,,,
1,299,,,,0.91015625,,,
1,349,,,,0.9296875,,,
1,375,,,,,,0.9384999871253967,0.20787912607192993
1,375,,,0.8944791555404663,,0.36510416865348816,,
2,399,,,,0.8984375,,,
2,449,,,,0.921875,,,
2,499,,,,0.91015625,,,
2,549,,,,0.8984375,,,
2,563,,,,,,0.9470000267028809,0.18697509169578552
2,563,,,0.910729169845581,,0.3129482865333557,,
3,599,,,,0.9140625,,,
3,649,,,,0.91015625,,,
3,699,,,,0.94140625,,,
3,749,,,,0.9140625,,,
3,751,,,,,,0.9506666660308838,0.16458164155483246
3,751,,,0.9212708473205566,,0.277068555355072,,
4,799,,,,0.94140625,,,
4,849,,,,0.9375,,,
4,899,,,,0.9375,,,
4,939,,,,,,0.956416666507721,0.15446455776691437
4,939,,,0.9259166717529297,,0.2663300335407257,,
5,949,,,,0.91796875,,,
5,999,,,,0.9453125,,,
5,1049,,,,0.921875,,,
5,1099,,,,0.953125,,,
5,1127,,,,,,0.9505833387374878,0.17627617716789246
5,1127,,,0.9321041703224182,,0.2435583770275116,,
6,1149,,,,0.96484375,,,
6,1199,,,,0.93359375,,,
6,1249,,,,0.91796875,,,
6,1299,,,,0.9609375,,,
6,1315,,,,,,0.9546666741371155,0.16333061456680298
6,1315,,,0.9354583621025085,,0.23758268356323242,,
7,1349,,,,0.95703125,,,
7,1399,,,,0.94140625,,,
7,1449,,,,0.91796875,,,
7,1499,,,,0.9375,,,
7,1503,,,,,,0.9574999809265137,0.1508805900812149
7,1503,,,0.9389374852180481,,0.22619415819644928,,
8,1549,,,,0.9375,,,
8,1599,,,,0.9296875,,,
8,1649,,,,0.93359375,,,
8,1691,,,,,,0.9574999809265137,0.15163439512252808
8,1691,,,0.9394583106040955,,0.2223745882511139,,
9,1699,,,,0.921875,,,
9,1749,,,,0.9296875,,,
9,1799,,,,0.93359375,,,
9,1849,,,,0.92578125,,,
9,1879,,,,,,0.9583333134651184,0.15006023645401
9,1879,,,0.9430833458900452,,0.21379083395004272,,
10,1899,,,,0.95703125,,,
10,1949,,,,0.94140625,,,
10,1999,,,,0.9453125,,,
10,2049,,,,0.97265625,,,
10,2067,,,,,,0.9556666612625122,0.16637162864208221
10,2067,,,0.9436249732971191,,0.2083273082971573,,
11,2099,,,,0.953125,,,
11,2149,,,,0.9375,,,
11,2199,,,,0.96484375,,,
11,2249,,,,0.9375,,,
11,2255,,,,,,0.9599999785423279,0.1431601196527481
11,2255,,,0.9448333382606506,,0.20481254160404205,,
12,2299,,,,0.9609375,,,
12,2349,,,,0.953125,,,
12,2399,,,,0.9375,,,
12,2443,,,,,,0.9564999938011169,0.1588292121887207
12,2443,,,0.9462291598320007,,0.20038603246212006,,
13,2449,,,,0.9453125,,,
13,2499,,,,0.94921875,,,
13,2549,,,,0.9453125,,,
13,2599,,,,0.95703125,,,
13,2631,,,,,,0.9629166722297668,0.15028142929077148
13,2631,,,0.9480000138282776,,0.1968846619129181,,
14,2649,,,,0.94921875,,,
14,2699,,,,0.9296875,,,
14,2749,,,,0.953125,,,
14,2799,,,,0.9453125,,,
14,2819,,,,,,0.9610000252723694,0.15859831869602203
14,2819,,,0.9490625262260437,,0.1890449970960617,,
15,2849,,,,0.9375,,,
15,2899,,,,0.9609375,,,
15,2949,,,,0.96875,,,
15,2999,,,,0.98046875,,,
15,3007,,,,,,0.9653333425521851,0.13941502571105957
15,3007,,,0.9477291703224182,,0.19648653268814087,,
16,3049,,,,0.953125,,,
16,3099,,,,0.9609375,,,
16,3149,,,,0.9765625,,,
16,3195,,,,,,0.9627500176429749,0.14762243628501892
16,3195,,,0.9497500061988831,,0.18734751641750336,,
17,3199,,,,0.95703125,,,
17,3249,,,,0.9375,,,
17,3299,,,,0.953125,,,
17,3349,,,,0.96484375,,,
17,3383,,,,,,0.9639166593551636,0.14572080969810486
